MOVIES,IMDB-RATING,NUMBER OF LIKES,NUMBER OF DOWNLOADS
Victor Crowley (2017),5.7,29,"75,548"
The Ballad of Lefty Brown (2017),6.2,15,"75,851"
Buck Rogers in the 25th Century (1979),6.6,8,"42,622"
Woody Woodpecker (2017),4.5,32,"122,109"
All I See Is You (2016),5.1,10,"60,398"
Batman: Gotham by Gaslight (2018),6.8,,
Blade of the Immortal (2017),6.8,80,"190,082"
Crossing Point (2016),5 ,16,"61,509"
The Pirates of Somalia (2017),6.8,29,"123,018"
In Search of Balance (2016),6.7,10,"42,016"
Parker's Anchor (2017),5.7,,
Minimalism: A Documentary About the Important Things (2015),6.7,,
Battlecreek (2017),6 ,87,"79,790"
Tom of Finland (2017),6.9,17,"45,753"
Thelma (2017),7.1,67,"185,537"
Becks (2017),5.9,68,"53,126"
Still/Born (2017),5.3,,
When We First Met (2018),6.5,135,"307,848"
Welcome to Willits (2016),4.4,15,"39,289"
Doctor Who: Shada (2017),6.1,,
My Friend Dahmer (2017),6.5,17,"70,397"
Bomb City (2017),7.2,65,"213,312"
The Time of Their Lives (2017),5.8,3,"32,825"
Knights of the Damned (2017),2.6,18,"74,033"
Scramble (2017),3 ,13,"51,611"
The Ritual (2017),6.3,805,"298,657"
The Florida Project (2017),7.7,44,"117,362"
Days of Power (2018),4.4,30,"61,206"
God's Own Country (2017),7.7,,
Accident Man (2018),6.1,82,"233,613"
Wonder (2017),8 ,158,"396,829"
Murder on the Orient Express (2017),6.6,255,"755,379"
The Everlasting Flame (2009),6 ,9,"18,382"
Daddy's Home 2 (2017),6 ,,
Patient Seventeen (2017),3.5,27,"72,417"
The Cloverfield Paradox (2018),5.6,106,"281,285"
The Stray (2017),5.1,34,"118,271"
Only the Brave (2017),7.7,116,"238,057"
Accident (2017),3.3,25,"100,596"
Crooked House (2017),6.3,47,"144,834"
"Roman J. Israel, Esq. (2017)",6.4,,
Suburbicon (2017),5.5,54,"231,391"
Smartass (2017),4.5,15,"67,771"
Walking Out (2017),5.8,41,"133,118"
The Great Invisible (2014),6.6,16,"64,741"
